,source,target
999,adubo,ninfa
1000,mau,descartar
1001,mau,médio
1002,mau,rebanhar
1003,mau,reter
1004,mau,embrião
1005,mau,doador
1006,mau,técnico
1007,mau,calor
1008,mau,interferir
1009,mau,bulir
1010,lateral,protozoário
1011,lateral,administração
1012,lateral,combate
1013,lateral,equino
1014,lateral,estaçãar
1015,lateral,cavalo
1016,lateral,doença
1017,lateral,alto
1018,lateral,vermífugo
1019,lateral,creme
1020,casco,lugar
1021,casco,acetonemia
1022,casco,distúrbio
1023,casco,organismo
1024,casco,umbilical
1025,casco,campilobacteriose
1026,casco,aborto
1027,casco,gêmeo
1028,casco,verme
1029,casco,resíduo
1030,vaca,parto
1031,vaca,lactação
1032,vaca,novilho
1033,vaca,corporal
1034,vaca,fisiologia
1035,vaca,bezerro
1036,vaca,demorar
1037,vaca,balanço
1038,vaca,cristalino
1039,vaca,gordura
1040,espécie,planta
1041,espécie,invasor
1042,espécie,purpureum
1043,espécie,minutiflora
1044,espécie,ressemeadura
1045,espécie,sulco
1046,espécie,cultura
1047,espécie,pastejo
1048,espécie,gradagem
1049,espécie,aveia
1050,raio,pasteurização
1051,raio,micuim
1052,raio,pele
1053,raio,úmido
1054,raio,coliforme
1055,raio,apetite
1056,raio,incidência
1057,raio,cítrico
1058,raio,corrente
1059,raio,parede
1060,árvore,inimigo
1061,árvore,orgânico
1062,árvore,fenação
1063,árvore,insolação
1064,árvore,densidade
1065,árvore,coccidiose
1066,árvore,guandu
1067,árvore,copa
1068,árvore,arborização
1069,árvore,macio
1070,oxigênio,fabricante
1071,oxigênio,agudo
1072,oxigênio,terapia
1073,oxigênio,sol
1074,oxigênio,médico
1075,oxigênio,graxo
1076,oxigênio,abrigo
1077,oxigênio,tomar
1078,oxigênio,confinar
1079,oxigênio,risco
1080,pescoço,desaleitar
1081,pescoço,desaleitamento
1082,pescoço,antibiótico
1083,pescoço,obra
1084,pescoço,balde
1085,pescoço,lactente
1086,pescoço,mão
1087,pescoço,taxa
1088,pescoço,mamar
1089,pescoço,secar
1090,emagrecimento,volumoso
1091,emagrecimento,mineral
1092,emagrecimento,concentrar
1093,emagrecimento,dieta
1094,emagrecimento,balancear
1095,emagrecimento,ração
1096,emagrecimento,vitamina
1097,emagrecimento,alimento
1098,emagrecimento,concentrado
1099,emagrecimento,proteína
1100,orientar,procurar
1101,orientar,animais
1102,orientar,ossaturo
1103,orientar,reprodutor
1104,orientar,heterozigoto
