,0,1,2,3,4
sobrevivênciabom,sobrevivência,bom,31.0,2,2
sobrevivênciacorporal,sobrevivência,corporal,32.0,3,2
sobrevivênciamagro,sobrevivência,magro,34.0,2,2
sobrevivênciaterço,sobrevivência,terço,35.0,2,2
sobrevivênciasuplementar,sobrevivência,suplementar,38.0,2,2
sobrevivênciabalança,sobrevivência,balança,40.0,2,2
nutricionalmineral,nutricional,mineral,10.75,8,4
nutricionalvitamina,nutricional,vitamina,2.0,2,2
nutricionalteor,nutricional,teor,6.0,4,4
nutricionalproteína,nutricional,proteína,41.5,8,6
nutricionaldieta,nutricional,dieta,23.9375,10,6
nutricionalvolumoso,nutricional,volumoso,32.25,9,4
nutricionalconcentrar,nutricional,concentrar,16.0,10,4
nutricionalbasar,nutricional,basar,9.0,2,2
nutricionalseco,nutricional,seco,10.662109375,27,14
nutricionalgordo,nutricional,gordo,12.0,3,2
nutricionalrisco,nutricional,risco,13.0,2,2
nutricionalpasto,nutricional,pasto,10.046875,8,8
nutricionalpiquete,nutricional,piquete,49.25,4,4
nutricionalmaternidade,nutricional,maternidade,18.0,2,2
nutricionallimpo,nutricional,limpo,20.0,2,2
nutricionalinstalação,nutricional,instalação,21.0,2,2
nutricionalprincipal,nutricional,principal,22.0,2,2
nutricionalperder,nutricional,perder,7.5,4,4
nutricionalbom,nutricional,bom,7.33203125,16,10
nutricionalcorporal,nutricional,corporal,30.0,3,2
nutricionalmagro,nutricional,magro,10.25,6,4
nutricionalterço,nutricional,terço,33.0,2,2
nutricionalsuplementar,nutricional,suplementar,36.0,2,2
nutricionalbalança,nutricional,balança,38.0,2,2
mineralvitamina,mineral,vitamina,2.4218082427978516,30,28
mineralteor,mineral,teor,16.0625,10,8
mineralproteína,mineral,proteína,1.0400390625,18,12
mineraldieta,mineral,dieta,2.1295690536499023,38,22
mineralvolumoso,mineral,volumoso,1.9607288837432861,43,24
mineralconcentrar,mineral,concentrar,6.65612792968934,72,50
mineralbasar,mineral,basar,8.0,2,2
mineralseco,mineral,seco,15.738224744796753,31,24
mineralgordo,mineral,gordo,11.0,3,2
mineralrisco,mineral,risco,12.0,2,2
mineralpasto,mineral,pasto,2.03155517578125,18,16
mineralpiquete,mineral,piquete,38.5,4,4
mineralmaternidade,mineral,maternidade,17.0,2,2
minerallimpo,mineral,limpo,19.0,2,2
mineralinstalação,mineral,instalação,20.0,2,2
mineralprincipal,mineral,principal,3.2500505447387695,24,22
mineralperder,mineral,perder,7.250000357627869,28,28
mineralbom,mineral,bom,14.028341859579086,36,28
mineralcorporal,mineral,corporal,61.25,5,4
mineralmagro,mineral,magro,31.0,2,2
mineralterço,mineral,terço,32.0,2,2
mineralsuplementar,mineral,suplementar,1.0000174045562744,24,24
mineralbalança,mineral,balança,37.0,2,2
vitaminateor,vitamina,teor,15.0625,10,8
vitaminaproteína,vitamina,proteína,10.25,4,4
vitaminadieta,vitamina,dieta,3.0,2,2
vitaminavolumoso,vitamina,volumoso,6.8125,7,6
vitaminaconcentrar,vitamina,concentrar,3.5,10,6
vitaminabasar,vitamina,basar,7.0,2,2
vitaminaseco,vitamina,seco,5.75,5,4
vitaminagordo,vitamina,gordo,10.0,3,2
vitaminarisco,vitamina,risco,11.0,2,2
vitaminapasto,vitamina,pasto,14.0,2,2
vitaminapiquete,vitamina,piquete,37.5,4,4
vitaminamaternidade,vitamina,maternidade,16.0,2,2
vitaminalimpo,vitamina,limpo,18.0,2,2
vitaminainstalação,vitamina,instalação,19.0,2,2
vitaminaprincipal,vitamina,principal,7.25,6,4
vitaminaperder,vitamina,perder,25.0,2,2
vitaminabom,vitamina,bom,48.75,12,6
vitaminacorporal,vitamina,corporal,60.25,5,4
vitaminamagro,vitamina,magro,30.0,2,2
vitaminaterço,vitamina,terço,31.0,2,2
vitaminasuplementar,vitamina,suplementar,34.0,2,2
vitaminabalança,vitamina,balança,36.0,2,2
teorproteína,teor,proteína,2.596954345703125,20,20
teordieta,teor,dieta,1.3173828125,28,14
teorvolumoso,teor,volumoso,30.9375,11,6
teorconcentrar,teor,concentrar,16.75,12,6
teorbasar,teor,basar,6.0,2,2
teorseco,teor,seco,1.00384521484375,25,18
teorgordo,teor,gordo,9.0,3,2
teorrisco,teor,risco,10.0,2,2
teorpasto,teor,pasto,13.0,2,2
teorpiquete,teor,piquete,10.0625,6,6
teormaternidade,teor,maternidade,15.0,2,2
teorlimpo,teor,limpo,17.0,2,2
teorinstalação,teor,instalação,18.0,2,2
teorprincipal,teor,principal,25.0,4,4
teorperder,teor,perder,24.0,2,2
teorbom,teor,bom,40.019287109375,24,14
teorcorporal,teor,corporal,36.0,5,4
teormagro,teor,magro,29.0,2,2
teorterço,teor,terço,30.0,2,2
teorsuplementar,teor,suplementar,30.0,4,4
teorbalança,teor,balança,35.0,2,2
proteínadieta,proteína,dieta,21.736392498016357,46,24
proteínavolumoso,proteína,volumoso,29.17431640625,19,14
